序號,問題,答案
11,民眾可否在稅捐處以信用卡臨櫃繳稅？,民眾持本處核定之地方稅繳款書(含移送執行案件，另自108年10月1日起不受理罰鍰案件。)，可直接在各分處全功能服務櫃檯及本處駐交通部公路總局臺北市區監理所、士林監理站使用牌照稅服務櫃檯，以信用卡刷卡或利用行動裝置先下載APP，並綁定信用卡後，臨櫃感應支付繳稅。
12,民眾如何臨櫃行動支付繳稅？,民眾持本處核定之地方稅繳款書(含移送執行案件，另自108年10月1日起不受理罰鍰案件。)，行動裝置下載行動支付APP【Apple Pay、Google Pay、Samsung Pay、台灣行動支付】，綁定信用卡後，直接於各分處全功能服務櫃檯及本處駐交通部公路總局臺北市區監理所、士林監理站使用牌照稅服務櫃檯臨櫃刷卡或感應支付繳納稅款。
13,用信用卡（ATM或長期金融機構帳戶等）轉帳繳稅，會收到繳納證明嗎？,為節能減碳，以各種轉帳方式繳納本市地方稅後，本處將不主動寄發繳納證明，如需繳納證明，請另向本處申請核發。
14,使用信用卡（ATM或長期金融機構帳戶等）轉帳繳稅後，如需紙本繳納證明要如何申請？,以信用卡繳納本市地方稅後，如需紙本繳納證明，可由本處網站連結財政部稅務入口網，以自然人憑證、工商憑證或已註冊之健保卡登入申辦當期繳納證明，或至本處網站繳納證明e傳送網頁申請，亦可以電話、傳真、定期開徵繳款書附聯或至本處各分處臨櫃申請核發當期及以後年度繳納證明。
15,如果要電子繳納證明或繳款書，要如何申請？是否要每年申請？,利用自然人憑證、工商憑證、金融憑證、已註冊之健保卡或已綁定自然人憑證之行動裝置（TAIWAN FidO），登入「地方稅網路申報作業」網站（網址：https://net.tax.nat.gov.tw），點選「定期開徵查繳稅及電子傳送服務」，或至本處網站（網址：https://tpctax.gov.taipei）以上傳身分證影像檔提出申請以電子方式傳送繳納證明，亦可至本處各分處臨櫃或利用定期開徵繳款書附聯申請以電子方式傳送繳納證明或繳款書，一經申請成功，每年皆可適用。
16,如何線上申請電子繳納證明？,可於繳完稅款3-5日由本處網站連結至財政部「電子稅務文件入口網」，憑自然人憑證、工商憑證或已註冊健保卡，即可線上申請核發房屋稅、地價稅及使用牌照稅之電子繳納證明文件。
17,土地上之房屋原供營業用，嗣後變為自用，如何申請改按自用住宅用地稅率核課地價稅？,"原供營業用房屋，嗣後變更為自用住宅，並符合下列規定，得於當年9月22日以前檢附戶口名簿影本及建物所有權狀影本親至本處所屬各分處或以傳真、網際網路等方式申請，逾期申請，自申請之次年期開始適用。
(一)地上房屋須為土地所有權人或其配偶、直系親屬所有。
(二)土地所有權人或其配偶、直系親屬在該地辦竣戶籍登記。
(三)地上房屋無出租或供營業使用情形的住宅用地。
(四)土地所有權人與配偶及未成年之受扶養親屬適用自用住宅用地稅率課徵地價稅，以1處為限。
(五)都市土地面積300平方公尺，非都市土地面積700平方公尺為限。"
18,新買或繼承的房屋作自用住宅，不知要在9月22日以前申請適用自用住宅用地稅率課徵地價稅，被按一般用地稅率課徵地價稅，有無補救辦法？,依土地稅法第41條第1項規定，適用特別稅率課徵地價稅之用地，應於地價稅開徵40日前(即每年9月22日以前)提出申請，逾期申請者，自申請之次年期起開始適用。但新購或繼承土地之所有權人於申報契稅、土地增值稅或遺產稅查註財產稅有無欠稅時，已依稅捐稽徵機關之輔導先行提出申請按自用住宅用地稅率課徵地價稅者，如土地在當年9月22日以前已符合地價稅自用住宅用地之要件，可補送戶籍及建物相關證明文件，當年即可改按自用住宅用地稅率課徵地價稅。
19,土地所有權人原已辦竣戶籍登記，但因出國經戶政機關除戶，致無本人或配偶、直系親屬於該址設立戶籍，如所有權人能提出其入出境之證明資料，是否仍可按自用住宅用地稅率課徵地價稅？,"(一)依土地稅法規定，申請按自用住宅用地稅率課徵地價稅者，須土地所有權人或其配偶、直系親屬於該地辦竣戶籍登記，且房屋無出租或供營業用，並於9月22日以前提出申請；另外依財政部頒定「適用自用住宅用地稅率課徵地價稅認定原則」規定，設籍人因出境經戶政機關逕為辦理遷出登記，雖有出入境紀錄，但未向戶政機關辦理遷入戶籍登記，仍不符自用住宅用地規定。
(二)辦竣戶籍登記是適用自用住宅用地之要件，如因出國致遭戶政機關逕為遷出，則須於入境後向戶政機關辦理遷入戶籍登記，並向稅捐稽徵機關提出申請經核准後，始有優惠稅率之適用。"
20,我要申請按自用住宅用地稅率課徵地價稅，請問你們有提供網路申辦嗎？,您可利用本處網站「房地稅額e化查詢平台」或透過臺北市政府市民服務大平臺、地方稅網路申報或財政部稅務入口網，申辦地價稅改按自用住宅用地稅率課徵。
21,臺北市房屋標準價格自109年7月1日起的變革為何？,"依房屋稅條例第11條規定，房屋標準價格事項每3年重行評定1次，臺北市房屋標準價格業經不動產評價委員會109年會議審議通過，經臺北市政府公告，自109年7月1日起實施，本次重行評定重點如下：
（一）單一自住輕稅：臺北市單一且自住房屋，提高其課稅現值折減比率為50%(相當於實質稅率為0.6%)，並提高現值最高折減額度為750萬元(即稅額折減上限為9萬元)。
（二）包租代管輕稅：包租代管社會住宅，或公益出租人出租房屋符合月租金收取不超過內政部公告當年度社宅包租代管計畫簽約租金上限，比照單一自住房屋的課稅現值折減50%，且最高折減額度為750萬元(稅額折減上限為9萬元)。
（三）取消部分電梯加價：因應高齡化社會及行動不便者之生活需求，並維護人性尊嚴，實現居住正義，取消5層樓以下房屋設有電梯加價20%課徵規定，惟房屋或屋頂增建樓房為違章建築且設有電梯者，則仍維持加價。
（四）豪宅定義有微調：考量住屋與停車位價格不同，不同坪數大小房屋應配備合理停車位數有別，調整高級住宅計入車位數的認定標準，即以合理停車位數量之價格計入房地總價，在8,000萬元以上時，認定為高級住宅。
（五）路段率微幅調整：本市蒐集各項可能影響路段率因子，將影響路段率相關環境資料量化，結合運用GIS及實價登錄資料建立路段率評估機制，並考量商業繁榮、交通方便、公共設施等因素，以全市觀點通盤檢討各街路生活機能，擬定路段率。本次調整後路段總條數共計1,351條，調升447條，調降12條。
"
22,房屋所有人及其配偶、未成年子女(以下簡稱家戶)持有全國單一且自住並設立戶籍的本市房屋，自109年7月起房屋稅基折減比率及每戶折減稅額的上限為何？,家戶持有全國單一且自住並設立戶籍，且符合本市都市計畫規定可作住宅使用的本市房屋，自109年7月起提高其課稅現值折減比率為50%(相當於實質稅率為0.6%)，並提高現值最高折減額度為750萬元(即稅額折減上限為9萬元)。
23,房屋居住多少年以上就不需繳納房屋稅？,"依房屋稅條例第 15條第1項第9款，本市106年期起住家房屋現值在新臺幣10萬8,000元以下者免徵房屋稅。是以，並不是居住多少年以上的房屋就不需繳交房屋稅。"
24,臺北市住家用房屋稅率為何？,"本市住家用房屋適用稅率如下：
(一)供自住及公益出租人出租使用房屋，為1.2％。
(二)其他住家用：
1.公有房屋供住家使用者，一律按1.5％課徵。
2.出租予符合本市社會住宅承租資格者供住家用房屋，為1.5%。
3.主管機關核定之勞工宿舍，為1.5%。
4.民間參與BOT興建經營之公立學校學生宿舍，為1.5%。
5.公同共有房屋，除共有人符合自住者，為2.4%。 
6.非自住房屋：持有本市非自住之住家用房屋在2戶以下者每戶均按2.4％，持有3戶以上者每戶均按3.6％課徵。
(三)住家用途之空置房屋：
1.起造人待售空置房屋之使用執照用途或都市計畫分區使用範圍為住宅者，如起造人持有106年7月1日起建築完成的待銷售之住家用房屋，於起課房屋稅3年內未出售者，按其現值1.5%課徵。
2其他非自住房屋：
依其他供住家用之非自住房屋2.4%或3.6%稅率課徵房屋稅。"
25,供自住使用房屋之條件為何？,"個人所有之住家用房屋同時符合下列情形屬供自住使用：
(一)房屋無出租使用。
(二)供本人、配偶或直系親屬實際居住使用。
(三)本人、配偶及未成年子女全國合計3戶以內。"
26,如何申請按自住房屋稅率課徵房屋稅？,個人持有的住家用房屋無出租，並供其本人、配偶或直系親屬實際居住使用，且本人、配偶及未成年子女全國合計3戶以內者，納稅義務人可於符合自住條件之日起30日內向稅捐稽徵機關申請按自住房屋稅率1.2％課徵房屋稅。其變更日在變更月份15日以前者，當月份適用變更後稅率；在變更月份16日以後者，當月份適用原稅率。
27,李先生與兄弟持分共有房屋3戶，持分各1/3，應如何計算自住房屋戶數？,個人所有持分共有房屋，於計算自住房屋戶數時，原則上該持分共有房屋以1戶計算，即持分共有房屋所有權人各自算1戶，房屋如為已辦理建物所有權登記者，原則上依權狀判斷，即以持有人持有住家用房屋之權狀計算戶數，是李先生之房屋戶數計算應為3戶，而非3戶*1/3=1戶。
28,何謂公益出租人？,依「住家用房屋供自住及公益出租人出租使用認定標準」第3條規定，房屋屬公益出租人出租使用，指經直轄市、縣（市）主管機關依住宅法及其相關規定核（認）定之公益出租人，於核（認）定之有效期間內，出租房屋供住家使用。
29,臺北市空置房屋稅率為何？,房屋空置不為使用時，已領使用執照者依其所載用途別認定，即用途如為住宅，按非自住之其他住家用稅率課徵；用途如為非住宅(例如店鋪、事務所等)，按非住家非營業用稅率2%課徵房屋稅。另未領使用執照的房屋，則依其都市計畫分區使用範圍認定，並依上述用途所適用稅率課徵房屋稅。但起造人持有106年7月1日起建築完成的待銷售之住家用房屋，於起課房屋稅3年內未出售者，按其現值1.5%課徵。
30,住家用房屋打通或合併使用如何計算戶數？,房屋稅是依據地政機關核發的建物所有權狀登載建物資料而設立稅籍課稅，所以，房屋稅籍資料戶數之計算，應依建物所有權狀來認定。舉例來說，持有2戶房屋的建物所有權狀，實際上如打通合併使用，仍應依前述權狀戶數認定，即屬2戶，惟如業經地政機關合併為1個建號的建物所有權狀，可獨立使用及移轉，則可認定為1戶。
31,工廠房屋停工期間如何課徵房屋稅？,合法登記之工廠停工期間，其自有供直接生產使用之廠房仍可申請適用房屋稅條例規定減半徵收房屋稅，但如將廠房變更供其他使用者，則應按實際使用情形核課房屋稅。
32,低收入戶所有房屋有無減免房屋稅？,臺北市房屋為低收入戶所有且供住家使用，可檢附低收入戶證明文件等資料向本處所屬各分處申請免徵房屋稅。
33,房屋作營業使用，但未辦理營利事業登記，是不是就不必按營業用稅率課徵房屋稅？,房屋作營業使用，不論該營利事業是否已依規定辦理營業登記，仍應就營業使用部分，按營業用稅率課徵房屋稅。
34,原供營業使用之房屋，該營利事業已遷出，應如何申請改課房屋稅？,房屋稅是依房屋實際使用情形按月課徵，如使用情形有變更，應於變更之日起30日內，親自或以傳真、郵寄、網路申辦等方式向稅捐處申報變更情形。
35,房屋稅徵收期間自何時起算？,房屋稅於每年5月1日開徵，徵收期間係自上年度7月1日起至當年度6月30日止。
36,配偶互贈房屋，是否需繳納契稅？如何申報？,配偶互贈房屋，依規定應於贈與契約成立之日起30日內，填具契稅申報書，並檢附公定格式契約書及其他相關文件，向房屋所在地稅捐處申報繳納贈與契稅。
37,買賣房屋逾期申報契稅，有無處罰？,"契稅條例第16條規定，納稅義務人應於房屋買賣契約成立之日起30日內向房屋所在地稅捐稽徵機關申報契稅，若未依規定期限申報者，依同條例第24條規定，每逾3天，將會被加徵應納稅額1%的怠報金，最高以應納稅額為限，但不得超過新臺幣15,000元。"
38,買賣未辦建物所有權第一次登記之房屋，需要申報契稅嗎？,契稅條例第2條規定，不動產之買賣、承典、交換、贈與、分割或因占有而取得所有權，均應申報繳納契稅。所以不論合法房屋或未合法房屋有上述規定之移轉，均屬契稅課徵範圍。又買賣未辦建物所有權第一次登記之房屋，應由雙方當事人於契約成立之日起30日內，填具契稅申報書，並檢附公定格式契約書、買賣雙方身分證明文件影本及其他相關文件，共同向房屋所在地之本處所屬分處申報契稅。
39,契稅的契價如何訂定？,依契稅條例第13條規定，契價以當地不動產評價委員會評定之標準價格為準，即該移轉房屋之房屋評定現值。另如為依法領買或標購公產及向法院標購拍賣之房屋，其移轉價格低於評定現值時，依移轉價格申報。
40,完納契稅後若雙方買賣不成立，解除契約並撤銷契稅申報，原已繳納之契稅可否退還？,完納契稅後，尚未完成建物產權移轉登記前，若買賣雙方同意解除契約，可檢附原契約書、雙方同意撤銷申請書及契稅繳款書收據聯，以書面向原申報稽徵機關申請撤銷契稅申報，並退還已繳納稅款。
41,房屋因繼承或信託是否須申報契稅？,契稅條例第2條規定，不動產之買賣、承典、交換、贈與、分割或因占有而取得所有權者，均應申報繳納契稅。另繼承或信託，則非屬上述申報契稅之原因，所以，無須申報契稅。
42,請問土地增值稅「一生一屋」自用住宅用地稅率適用條件為何？ ,"「一生一屋」自用住宅用地稅率應同時符合下列條件才能適用：
(一)曾使用過土地增值稅一生一次自用住宅用地稅率。
(二)出售都市土地面積未超過150平方公尺或非都市土地面積未超過350平方公尺。
(三)出售時土地所有權人與其配偶及未成年子女，無該自用住宅以外之房屋。
(四)出售前持有該土地6年以上。
(五)土地所有權人或其配偶、未成年子女於土地出售前，在該地設有戶籍且持有該自用住宅連續滿6年。
(六)出售前5年內，無供營業使用或出租。"
43,未使用過「一生一次」自用住宅用地稅率以前，是否可申請按「一生一屋」自用住宅用地稅率課徵土地增值稅？,土地所有權人出售自用住宅用地，在未使用過「一生一次」自用住宅用地稅率前，不能選擇適用「一生一屋」自用住宅用地稅率課徵土地增值稅。
44,同一房地分次出售，是否都可以享用「一生一屋」自用住宅用地稅率課徵土地增值稅？,出售自用住宅用地申請適用「一生一屋」自用住宅用地稅率，分次移轉者，須出售後已無剩餘持分房屋，始得適用該優惠稅率。
45,請問土地增值稅自用住宅用地重購退稅適用要件為何？,"申請土地增值稅自用住宅用地重購退稅應同時符合下列要件：
(一)土地出售後2年內重購或先購買土地2年內再出售土地。
(二)重購土地地價超過原出售土地地價扣除土地增值稅後仍有餘額者。
(三)原出售及重購土地所有權人屬同1人。
(四)出售土地及新購土地地上房屋須為土地所有權人或其配偶、直系親屬所有，且均已辦竣戶籍登記。
(五)重購都市土地面積未超過300平方公尺或非都市土地面積未超過700平方公尺部分，出售土地則不受上開面積之限制。
(六)出售土地於出售前1年內未曾供營業或出租使用。
(七)如為先購後售案件，應於重購土地時，已持有自用住宅使用之土地為適用範圍。"
46,已核准重購退稅後，如因故將戶籍遷出，是否會被追繳原退還的土地增值稅？,民眾換屋時，如原出售及新購的房屋均作自用住宅使用，經核准退還土地增值稅後，新購房屋5年內必須繼續作自用住宅使用，戶籍不可以全部遷出，如必須遷出戶籍，至少應保留土地所有權人或其配偶、直系親屬其中1人的戶籍，否則會被追繳原退還的土地增值稅。
47,已辦理自益信託移轉登記之土地，嗣後委託人於信託關係存續中死亡，受託人移轉該信託土地與該繼承人時，應否課徵土地增值稅？又該繼承人日後移轉該土地，其原地價為何？,自益信託土地，委託人於信託關係存續中死亡，其繼承人終止信託及申辦塗銷登記，受託人移轉該信託土地與該繼承人時，依土地稅法第28條之3第3款規定不課徵土地增值稅。其土地日後移轉應課徵土地增值稅時，比照繼承土地以受益人死亡日當期公告土地現值為原地價計算土地增值稅。
48,供身心障礙者使用之車輛如何免徵使用牌照稅？應檢附之證件？有無車輛數及免稅額之限制？,"（一）身心障礙者自有車輛，不論是否有駕照，稅捐處都將主動核定免稅，車主免申請。
（二）身心障礙者因身心障礙情況，致無駕駛執照者，其配偶或同一戶籍二親等以內親屬所有供其使用之車輛，可申請免稅，申請時應檢附身心障礙證明。
（三）身心障礙免徵使用牌照稅每一身心障礙者以一輛為限，且免稅金額以2,400cc之稅額11,230為限，超過之部分，不予免徵，仍應繳納使用牌照稅。"
49,機車是否須繳納使用牌照稅？,"（一）在150cc(含)以下者，不必繳納使用牌照稅。
（二）在151cc(含)以上者，要依汽缸總排氣量之多寡繳納使用牌照稅。"
50,車輛欠繳使用牌照稅行駛公共道路，有處罰規定嗎？,逾期未完稅的交通工具，在滯納期滿後使用公共道路經查獲者，除責令補稅外，處以應納稅額1倍以下之罰鍰。
51,臺北市完全以電能為動力之汽車及機車是否有免徵使用牌照稅？,本市完全以電能為動力之汽車及機車至110年12月31日止免徵使用牌照稅。
52,臺北市娛樂稅徵收自治條例第5條之1減半課徵期間及對象為何？,依臺北市娛樂稅徵收自治條例第5條之1規定，自109年12月1日起至110年6月30日止，娛樂稅徵收率全面減半課徵，共計7個月，所有娛樂活動、娛樂設施及娛樂場所均適用。
53,公司舉辦售票演唱會，如何計徵娛樂稅？,"票價在1,500元以下者，徵收率為1%，1,501元至3,000元者，徵收率為2.5%，3,001元以上者，徵收率為5%。"
54,餐廳提供音樂演奏表演，未額外收費，是否應課徵娛樂稅？如何計徵？,餐廳提供音樂演奏表演，雖未額外收費，但娛樂價款內含於餐飲費內，仍應課徵娛樂稅，徵收率為1%。
55,夾娃娃機或選物販賣機應否課徵娛樂稅？,夾娃娃機屬娛樂稅法第2條第1項第6款「其他提供娛樂設施供人娛樂」之範圍，應課徵娛樂稅。選物販賣機如其功能與夾娃娃機類同，應課徵娛樂稅；如其功能與一般販賣機無異，不具娛樂性，免課徵娛樂稅。
56,不動產坐落於外縣市之移轉案件，應如何開立印花稅繳款書？,"(一)可透過地方稅網路申報作業系統線上申辦。
(二)不動產移轉案件，可跨縣市臨櫃開立印花稅繳款書，請就近至各縣市地方稅稽徵機關辦理，受理單位將協助聯繫不動產所在地之稅捐機關，並列印繳款書交付申請人。"
57,2個以上承包商共同承攬業務，應如何計貼印花稅票？,2個以上承包商共同承攬業務，與業主簽訂之共同承攬契據，如已載明各承攬金額或承攬比例，則各承攬人所執之契據，應分別按其承攬金額計貼印花稅票。
58,房屋租賃契約應否貼用印花稅票？,房屋租賃契約非印花稅課徵範圍，但如收款人在契約上註記收取款項並簽收，則該契約書已具有銀錢收據性質，應由收款人於收款時按收取款項金額的千分之四貼用印花稅票。
59,不動產契據如僅書立1份時，應由何人貼用印花稅票？,典賣、讓受及分割不動產契據，如僅書立1份，應由立約人或立據人中之持有人或持憑向主管機關申請物權登記之人，負責貼用印花稅票。
60,本人一直忘了將退稅支票拿去銀行?領，近日持向銀行兌領時被告知支票已經逾期，不能兌領，應如何辦理才可領回該筆稅款？,您可免填寫申請書、免附證件，逕持支票或寄至本處展延支票開票日期。但如該筆退稅款已經解繳公庫，則必須檢附申請書及身分證明文件向稽徵機關重新申請退稅。
61,退稅支票受款人已死亡，應如何辦理更正支票抬頭？,退稅支票受款人已死亡，應由繼承人檢附繼承系統表、同意書、申請書、新受款人之身分證影本及支票正本；若金額在20萬元以上者，應再加附遺產稅繳清或免稅證明書等向所轄分處申請更正，經審核認定後，即辦理更正支票抬頭為繼承人。
62,民眾因欠稅被限制出境，如何解除出境限制？ ,"納稅義務人因欠稅被限制出境者，如有下列情形之一時，即依規定報請財政部函請內政部入出國及移民署解除其出境限制： 
(一)已繳清依規定限制出境時全部欠稅及罰鍰者。
(二)已依法提供欠稅及罰鍰之相當擔保者。
(三)經行政救濟及處罰程序終結，確定之欠稅及罰鍰合計金額個人未滿新臺幣100萬元、營利事業未滿新臺幣200萬元者。
(四)限制出境時之全部欠稅及罰鍰，已逾法定徵收或執行期間者。
(五)欠稅之公司組織已依法解散清算，且無賸餘財產可資抵繳欠稅及罰鍰者。
(六)欠稅人就其所欠稅款已依破產法規定之和解或破產程序分配完結者。
(七)限制出境期間已逾5年者。"
63,查調個人財產及所得資料應檢附之證件？,"(一)本人申請：本人之身分證正本。(臨櫃申辦，查驗正本，並影印1份備查；郵寄申辦，檢附身分證影本，並具結「本影本與正本相符，如有不實願負法律責任」。)
(二)代理人申請：
1.代理人身分證正本。(臨櫃申辦，查驗正本，並影印1份備查；郵寄申辦，檢附身分證影本。)
2.委託人身分證影本。
3.委託人如為繼承人，應檢附與被繼承人關係證明文件及被繼承人死亡證明文件。
4.上述證明文件為影本者，應具結「本影本與正本相符，如有不實願負法律責任」。
5.授權書(簽名或蓋章)。
(三)繼承人申請：
1.繼承人身分證正本。(臨櫃申辦，查驗正本，並影印1份備查；郵寄申辦，檢附身分證影本。)
2.與被繼承人關係證明文件及被繼承人死亡證明文件。
3.以上檢附之證明文件如為影本時，應具結「本影本與正本相符，如有不實願負法律責任」。"
64,如何申請地方稅無違章欠稅證明？,應填寫申請書，檢附個人國民身分證，營利事業組織檢附中央或地方政府核發之核准函，及設立或變更登記表或公司登記事項證明書。（臨櫃申辦，查驗正本即還；郵寄申辦，檢附國民身分證影本；網路申辦限用自然人憑證或工商憑證驗證。）如委託他人辦理，應另檢附授權書或委任書、代理人國民身分證等文件，上述證明文件為影本者，應具結「本影本與正本相符，如有不實願負法律責任」，並簽名或蓋章，就近向本處或所屬任一分處申請。
65,可以申請延期或分期繳納稅捐嗎？需要符合什麼條件？,依稅捐稽徵法第26條規定，納稅義務人如果因為天災、事變、不可抗力的事由或為經濟弱勢者，不能於法定期間內繳清稅捐，可以在規定納稅期間內，向稅捐稽徵機關申請延期或分期繳納，其延期或分期繳納之期間，不得逾3年。
66,如何申請地價稅延期或分期繳納？,"一般民眾應納地價稅額較前一次公告地價調整增加新臺幣1萬5,000元以上，可於每年地價稅繳納期限11月30日屆滿前，向本處或所屬分處提出申請延期或分期繳納，但納稅義務人上一年度所得稅稅率適用最高級距則不能適用。"
67,欠稅已被移送執行如何繳納？,"（一）請至法務部行政執行署臺北（或士林）分署或本處各分處開單持往銀行繳納。
（二）傳繳通知書應納金額合計3 萬元以下 (含本稅、滯納金、執行必要費用)，得持有條碼之傳繳通知書，於傳繳應到期日前至統一（7-11）、全家、萊爾富、OK等四大便利商店繳納。
（三）得至郵局購買郵政匯票（手續費30元），匯款單依序填寫「移送機關之名稱」、「移送機關之地址」、「匯款人之電話」、「傳繳通知書正面應納金額」；並將匯票正本連同傳繳通知書影本以掛號寄交本處。
"
68,欠稅移送強制執行後，若無法一次清繳，可否辦理分期繳納？,納稅義務人如能釋明理由，說明因經濟狀況或因天災、事變致遭受重大財產損失，無法一次繳清滯納款項（稅捐、罰鍰或費用等），於法務部行政執行署臺北或士林分署徵得移送機關同意後，該分署將依據相關規定，斟酌個案情形，於執行期間內核准分期繳納。
69,納稅義務人對於稅捐稽徵機關核定稅額或罰鍰處分不服申請復查時，應檢附哪些資料？ ,申請復查時，應填妥復查申請書，敘明復查事項及理由，由申請人簽名或蓋章，並檢附繳款書或核定稅額通知書，向稅捐稽徵機關申請復查。
